City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hamilton,US,84.78,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
3,Faanui,PF,80.83,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
9,Jamestown,US,83.08,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
11,Paraiso,CR,76.96,overcast clouds,9.8383,-83.8656,Rinconcito Verde
13,Sinnamary,GF,82.29,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
21,Cidreira,BR,77.49,clear sky,-30.1811,-50.2056,Hotel Castelo
22,Broome,US,86.02,clear sky,42.2506,-75.833,Chenango Valley State Park
24,Gizo,SB,81.03,overcast clouds,-8.103,156.8419,Imagination Island
27,Ano Mera,GR,75.58,clear sky,37.45,25.4,Hotel La Résidence Mykonos
30,Gat,IL,76.82,clear sky,31.61,34.7642,OlusHome
35,Atuona,PF,78.33,overcast clouds,-9.8,-139.0333,Villa Enata
39,Hilo,US,77.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
40,Itarema,BR,88.03,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
44,Bethel,US,89.02,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
45,Bengkulu,ID,76.51,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
46,Rikitea,PF,75.33,overcast clouds,-23.1203,-134.9692,Pension Maro'i
49,Ugep,NG,75.29,overcast clouds,5.8086,8.0812,Classic Bar
50,Barcelos,PT,83.28,scattered clouds,41.5388,-8.6151,Hotel Do Terço
54,Hithadhoo,MV,83.21,overcast clouds,-0.6,73.0833,Scoop Guest House
55,Colares,PT,78.48,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
59,Bayir,TR,77.83,clear sky,37.2687,28.2167,Hotel Babadag
60,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
63,Zhanaozen,KZ,88.45,clear sky,43.3,52.8,K.korabay 28A
64,Namibe,AO,77.65,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
68,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
