City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hasaki,JP,35.7333,140.8333,66.6,81,100,5.41,overcast clouds
1,Carnarvon,AU,-24.8667,113.6333,60.87,82,98,5.75,overcast clouds
2,Hamilton,US,39.1834,-84.5333,84.78,53,20,1.99,few clouds
3,Faanui,PF,-16.4833,-151.75,80.83,73,99,8.5,overcast clouds
4,Hermanus,ZA,-34.4187,19.2345,53.8,59,0,4.38,clear sky
5,Codrington,AU,-38.2667,141.9667,52.97,90,100,7.78,overcast clouds
6,Vaini,TO,-21.2,-175.2,64.56,94,20,1.14,few clouds
7,Port Alfred,ZA,-33.5906,26.891,61.88,81,0,13.69,clear sky
8,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,86,90,13.8,overcast clouds
9,Jamestown,US,42.097,-79.2353,83.08,44,1,16.11,clear sky
10,Ushuaia,AR,-54.8,-68.3,33.42,86,40,5.75,scattered clouds
11,Paraiso,CR,9.8383,-83.8656,76.96,70,87,3.29,overcast clouds
12,Kaitangata,NZ,-46.2817,169.8464,44.92,78,100,5.88,overcast clouds
13,Sinnamary,GF,5.3833,-52.95,82.29,77,58,11.27,heavy intensity rain
14,Derzhavinsk,KZ,51.1,66.3167,60.84,34,93,8.21,overcast clouds
15,Berdigestyakh,RU,62.0989,126.6992,55.06,70,91,9.22,overcast clouds
16,Albany,US,42.6001,-73.9662,86.61,55,16,1.99,few clouds
17,Punta Arenas,CL,-53.15,-70.9167,39.31,87,20,8.03,few clouds
18,Saint-Pierre,RE,-21.3393,55.4781,74.84,91,90,3.44,light rain
19,Cape Town,ZA,-33.9258,18.4232,63.27,55,0,3.53,clear sky
20,Avarua,CK,-21.2078,-159.775,73.45,94,75,10.36,light rain
21,Cidreira,BR,-30.1811,-50.2056,77.49,58,0,5.97,clear sky
22,Broome,US,42.2506,-75.833,86.02,49,1,3.0,clear sky
23,Hobart,AU,-42.8794,147.3294,47.01,73,90,1.99,overcast clouds
24,Gizo,SB,-8.103,156.8419,81.03,77,99,5.41,overcast clouds
25,Vardo,NO,70.3705,31.1107,44.58,70,40,21.85,scattered clouds
26,Chuy,UY,-33.6971,-53.4616,65.79,95,100,7.25,heavy intensity rain
27,Ano Mera,GR,37.45,25.4,75.58,53,0,18.41,clear sky
28,Busselton,AU,-33.65,115.3333,56.08,76,12,10.85,few clouds
29,Nanortalik,GL,60.1432,-45.2371,45.97,65,99,11.79,overcast clouds
30,Gat,IL,31.61,34.7642,76.82,29,0,11.7,clear sky
31,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,10.36,broken clouds
32,Fortuna,US,40.5982,-124.1573,66.18,66,1,5.01,clear sky
33,Chokurdakh,RU,70.6333,147.9167,49.5,78,98,8.63,light rain
34,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,69,78,5.14,broken clouds
35,Atuona,PF,-9.8,-139.0333,78.33,76,91,13.0,overcast clouds
36,Saint George,US,37.1041,-113.5841,97.27,17,1,1.01,clear sky
37,Baghdad,IQ,33.3406,44.4009,100.31,13,0,14.12,clear sky
